time (s)	det(V)
5294.367903	0.171648	
5294.369449	0.198968	
5294.371169	0.178310	
5294.372723	0.199004	
5294.374413	0.204571	
5294.375970	0.162141	
5294.377638	0.196712	
5294.379225	0.205816	
5294.380893	0.193860	
5294.382489	0.204507	
5294.384129	0.213075	
5294.385747	0.253330	
5294.387390	0.266076	
5294.389010	0.181594	
5294.390637	0.208446	
5294.392294	0.204422	
5294.393873	0.240818	
5294.395549	0.240113	
5294.397117	0.239283	
5294.398803	0.246047	
5294.400280	0.262104	
5294.401906	0.274209	
5294.403388	0.259759	
5294.405038	0.312832	
5294.406535	0.266551	
5294.408133	0.259965	
5294.409659	0.254228	
5294.411305	0.303160	
5294.412847	0.310302	
5294.414473	0.296687	
5294.416031	0.294487	
5294.417635	0.329538	
5294.419208	0.339613	
5294.420858	0.345514	
5294.422440	0.310448	
5294.424092	0.359384	
5294.425707	0.316957	
5294.427328	0.359673	
5294.428992	0.344841	
5294.430594	0.394643	
5294.432234	0.372177	
5294.433831	0.400887	
5294.435508	0.383634	
5294.437105	0.402072	
5294.438785	0.373825	
5294.440356	0.409480	
5294.442058	0.394261	
5294.443618	0.463636	
5294.445320	0.424731	
5294.446863	0.471302	
5294.448575	0.450911	
5294.450105	0.463036	
5294.451846	0.473244	
5294.453327	0.463230	
5294.455114	0.481925	
5294.456594	0.491138	
5294.458359	0.482207	
5294.459841	0.509467	
5294.461610	0.517600	
5294.463093	0.538728	
5294.464867	0.517145	
5294.466361	0.562109	
5294.468112	0.542886	
5294.469620	0.556340	
5294.471354	0.550673	
5294.472882	0.567503	
5294.474432	0.603427	
5294.476029	0.575712	
5294.477511	0.583809	
5294.479160	0.604736	
5294.480658	0.595532	
5294.482296	0.649886	
5294.483772	0.626981	
5294.485501	0.676453	
5294.486977	0.622227	
5294.488687	0.608145	
5294.490165	0.651610	
5294.491869	0.619585	
5294.493376	0.650800	
5294.495152	0.674128	
5294.496627	0.658611	
5294.498410	0.666660	
5294.499890	0.699088	
5294.501656	0.647473	
5294.503133	0.675860	
5294.504876	0.687559	
5294.506370	0.639130	
5294.508142	0.692393	
5294.509644	0.717461	
5294.511372	0.686858	
5294.512885	0.669278	
5294.514599	0.680501	
5294.516137	0.656819	
5294.517857	0.678378	
5294.519401	0.682374	
5294.521110	0.679849	
5294.522666	0.651638	
5294.524363	0.679671	
5294.525923	0.672215	
5294.527598	0.674640	
5294.529173	0.674745	
5294.530830	0.643110	
5294.532445	0.636717	
5294.534086	0.638192	
5294.535704	0.626973	
5294.537350	0.633684	
5294.538968	0.605421	
5294.540582	0.631460	
5294.542225	0.615407	
5294.543829	0.588365	
5294.545507	0.578154	
5294.546994	0.568804	
5294.548647	0.553166	
5294.550128	0.544171	
5294.551777	0.518510	
5294.553248	0.511509	
5294.554877	0.522160	
5294.556360	0.510768	
5294.558029	0.479544	
5294.559549	0.458388	
5294.561179	0.449658	
5294.562733	0.451100	
5294.564338	0.404122	
5294.565918	0.417577	
5294.567596	0.401842	
5294.569175	0.366973	
5294.570842	0.356729	
5294.572422	0.323403	
5294.574050	0.343472	
5294.575661	0.311318	
5294.577277	0.316409	
5294.578957	0.249801	
5294.580541	0.244161	
5294.582212	0.218215	
5294.583809	0.242832	
5294.585474	0.190907	
5294.587043	0.164485	
5294.588741	0.135884	
5294.590294	0.151945	
5294.592005	0.128754	
5294.593548	0.118466	
5294.595261	0.098038	
5294.596799	0.086952	
5294.598521	0.051499	
5294.600038	0.086658	
5294.601780	-0.004692	
5294.603261	-0.003516	
5294.605028	-0.026735	
5294.606515	-0.019661	
5294.608287	-0.027758	
5294.609771	-0.088405	
5294.611521	-0.104751	
5294.613008	-0.090451	
5294.614770	-0.146807	
5294.616287	-0.131064	
5294.618018	-0.157446	
5294.619539	-0.192287	
5294.621089	-0.182957	
5294.622694	-0.271935	
5294.624190	-0.214269	
5294.625846	-0.244627	
5294.627343	-0.257751	
5294.628977	-0.281941	
5294.630476	-0.299029	
5294.632196	-0.306095	
5294.633669	-0.324601	
5294.635408	-0.352111	
5294.636878	-0.311308	
5294.638582	-0.376055	
5294.640105	-0.355031	
5294.641842	-0.405292	
5294.643342	-0.399342	
5294.645117	-0.413466	
5294.646607	-0.448754	
5294.648389	-0.434059	
5294.649872	-0.473774	
5294.651649	-0.444162	
