time (s)	det(V)
3319.205348	-0.108371	
3319.207128	-0.100777	
3319.208608	-0.105539	
3319.210393	-0.104637	
3319.211875	-0.123082	
3319.213658	-0.098654	
3319.215161	-0.114365	
3319.216912	-0.095569	
3319.218421	-0.108959	
3319.220149	-0.094473	
3319.221663	-0.113898	
3319.223377	-0.091597	
3319.224911	-0.116649	
3319.226611	-0.103086	
3319.228191	-0.108617	
3319.229692	-0.096874	
3319.231354	-0.101337	
3319.232856	-0.113160	
3319.234495	-0.094215	
3319.236016	-0.098892	
3319.237658	-0.089925	
3319.239143	-0.106578	
3319.240845	-0.104620	
3319.242329	-0.118349	
3319.244063	-0.117487	
3319.245556	-0.102127	
3319.247263	-0.110788	
3319.248747	-0.097112	
3319.250538	-0.105575	
3319.252029	-0.094630	
3319.253794	-0.098252	
3319.255283	-0.106880	
3319.257064	-0.105450	
3319.258544	-0.097994	
3319.260331	-0.111384	
3319.261822	-0.102465	
3319.263562	-0.108439	
3319.265074	-0.111102	
3319.266820	-0.099597	
3319.268339	-0.094360	
3319.270083	-0.074316	
3319.271615	-0.109668	
3319.273331	-0.100777	
3319.274869	-0.113414	
3319.276571	-0.100125	
3319.278122	-0.118571	
3319.279815	-0.105148	
3319.281388	-0.131912	
3319.283050	-0.118583	
3319.284634	-0.123421	
3319.286304	-0.105108	
3319.287891	-0.124871	
3319.289551	-0.113616	
3319.291154	-0.123578	
3319.292781	-0.114820	
3319.294427	-0.132025	
3319.296028	-0.118333	
3319.297691	-0.134788	
3319.299266	-0.126486	
3319.300943	-0.127763	
3319.302427	-0.135904	
3319.304056	-0.150555	
3319.305543	-0.146833	
3319.307180	-0.130563	
3319.308677	-0.140436	
3319.310306	-0.148851	
3319.311820	-0.163132	
3319.313493	-0.153037	
3319.315010	-0.162673	
3319.316660	-0.169235	
3319.318203	-0.177726	
3319.319827	-0.183092	
3319.321388	-0.193090	
3319.323062	-0.183124	
3319.324646	-0.205973	
3319.326318	-0.206440	
3319.327912	-0.231207	
3319.329532	-0.225458	
3319.331156	-0.243658	
3319.332809	-0.242478	
3319.334431	-0.250566	
3319.336048	-0.252037	
3319.337710	-0.286902	
3319.339295	-0.285234	
3319.340965	-0.316824	
3319.342538	-0.312095	
3319.344239	-0.349844	
3319.345823	-0.349921	
3319.347507	-0.381511	
3319.349075	-0.395107	
3319.350785	-0.432062	
3319.352326	-0.440804	
3319.354031	-0.465365	
3319.355576	-0.472023	
3319.357318	-0.501366	
3319.358821	-0.535022	
3319.360584	-0.566133	
3319.362070	-0.596716	
3319.363847	-0.630703	
3319.365336	-0.653705	
3319.367117	-0.689984	
3319.368604	-0.733474	
3319.370363	-0.783461	
3319.371842	-0.808320	
3319.373591	-0.836083	
3319.375099	-0.893676	
3319.376662	-0.939969	
3319.378216	-0.984655	
3319.379735	-1.026083	
3319.381363	-1.077810	
3319.382852	-1.130537	
3319.384491	-1.159859	
3319.386025	-1.206342	
3319.387691	-1.277224	
3319.389175	-1.316565	
3319.390897	-1.359281	
3319.392386	-1.410932	
3319.394134	-1.458660	
3319.395672	-1.502657	
3319.397368	-1.549075	
3319.398897	-1.611047	
3319.400620	-1.650839	
3319.402123	-1.695718	
3319.403867	-1.720291	
3319.405352	-1.728038	
3319.407139	-1.727353	
3319.408633	-1.728316	
3319.410438	-1.728130	
3319.411920	-1.728231	
3319.413699	-1.728231	
3319.415179	-1.728348	
3319.416931	-1.727877	
3319.418431	-1.728344	
3319.420195	-1.728171	
3319.421717	-1.728340	
3319.423478	-1.728316	
3319.424992	-1.728328	
3319.426700	-1.728150	
3319.428229	-1.728376	
3319.429928	-1.728324	
3319.431469	-1.728356	
3319.433158	-1.728026	
3319.434727	-1.728416	
3319.436393	-1.727865	
3319.437971	-1.728308	
3319.439637	-1.726519	
3319.441218	-1.728118	
3319.442859	-1.728195	
3319.444459	-1.725323	
3319.446081	-1.680701	
3319.447743	-1.643479	
3319.449236	-1.600537	
3319.450874	-1.534819	
3319.452350	-1.483958	
3319.453999	-1.413232	
3319.455476	-1.367015	
3319.457116	-1.301467	
3319.458603	-1.261792	
3319.460296	-1.185955	
3319.461788	-1.126464	
3319.463450	-1.046224	
3319.464978	-0.993421	
3319.466620	-0.906131	
3319.468167	-0.845131	
3319.469858	-0.761426	
3319.471424	-0.706214	
3319.473113	-0.608221	
3319.474686	-0.543208	
3319.476361	-0.475822	
3319.477955	-0.414628	
3319.479591	-0.307781	
3319.481206	-0.223569	
3319.482843	-0.153633	
3319.484447	-0.066464	
3319.486082	0.021184	
3319.487716	0.110351	
3319.489313	0.179489	
3319.491007	0.266750	
3319.492596	0.337862	
3319.494280	0.404035	
3319.495878	0.515132	
3319.497549	0.549019	
3319.499136	0.676773	
3319.500820	0.752376	
3319.502381	0.838554	
3319.504076	0.915962	
3319.505629	0.993999	
3319.507351	1.057183	
3319.508904	1.124633	
3319.510611	1.203573	
3319.512103	1.268360	
3319.513860	1.344568	
3319.515353	1.382228	
3319.517146	1.462859	
3319.518626	1.491291	
3319.520414	1.526285	
3319.521892	1.526579	
3319.523376	1.526712	
3319.524955	1.526865	
3319.526503	1.526873	
3319.528121	1.521177	
3319.529611	1.527022	
3319.531254	1.526946	
3319.532811	1.527083	
3319.534436	1.526857	
3319.535945	1.527119	
3319.537643	1.526865	
3319.539121	1.526994	
3319.540842	1.526652	
3319.542415	1.527075	
3319.544111	1.526708	
3319.545667	1.527147	
3319.547377	1.526716	
3319.548917	1.526922	
3319.550643	1.526527	
3319.552156	1.527047	
3319.553899	1.525987	
3319.555384	1.525794	
3319.557170	1.509580	
3319.558664	1.450420	
3319.560435	1.416336	
3319.561913	1.374341	
3319.563693	1.328773	
3319.565173	1.280964	
3319.566931	1.236431	
3319.568429	1.183419	
3319.570153	1.139981	
3319.571681	1.097023	
3319.573406	1.052897	
3319.574950	1.005254	
3319.576668	0.959670	
3319.578198	0.901883	
3319.579910	0.881242	
3319.581460	0.835944	
3319.583154	0.785151	
3319.584708	0.749476	
3319.586384	0.720976	
3319.587974	0.681055	
3319.589637	0.648369	
3319.591218	0.600823	
3319.592871	0.576786	
3319.594475	0.547198	
3319.596002	0.505883	
3319.597662	0.455215	
3319.599148	0.450768	
3319.600804	0.416322	
3319.602276	0.383048	
3319.603912	0.381952	
3319.605397	0.357690	
3319.607043	0.327397	
3319.608521	0.302900	
3319.610210	0.295335	
3319.611718	0.256853	
3319.613379	0.232760	
3319.614915	0.200424	
3319.616543	0.201661	
3319.618118	0.180794	
3319.619789	0.182760	
3319.621363	0.143746	
3319.623051	0.149200	
3319.624623	0.117892	
3319.626289	0.114838	
3319.627883	0.094048	
3319.629534	0.095160	
3319.631158	0.055304	
3319.632789	0.067844	
3319.634413	0.039130	
3319.636034	0.051348	
3319.637679	0.025498	
3319.639293	0.022139	
3319.640973	0.005800	
3319.642564	0.000213	
3319.644248	-0.022660	
3319.645824	-0.010998	
3319.647515	-0.017935	
3319.649098	-0.021424	
3319.650800	-0.033206	
3319.652362	-0.030048	
3319.654073	-0.043044	
3319.655622	-0.048365	
3319.657335	-0.056349	
3319.658873	-0.062295	
3319.660611	-0.079987	
3319.662121	-0.070263	
3319.663876	-0.084435	
3319.665370	-0.079439	
3319.667153	-0.084181	
3319.668639	-0.076446	
3319.670157	-0.095376	
3319.671725	-0.096282	
3319.673308	-0.096810	
3319.674843	-0.110425	
3319.676356	-0.106228	
3319.677989	-0.100902	
3319.679563	-0.105547	
3319.681178	-0.109285	
3319.682738	-0.107650	
3319.684388	-0.119598	
3319.685884	-0.109241	
3319.687603	-0.127570	
3319.689077	-0.113386	
3319.690814	-0.110055	
3319.692384	-0.120246	
3319.694090	-0.119304	
3319.695651	-0.108302	
3319.697362	-0.111537	
3319.698926	-0.128557	
3319.700638	-0.129898	
3319.702164	-0.116589	
3319.703903	-0.128637	
3319.705397	-0.121544	
3319.707158	-0.114365	
3319.708643	-0.129608	
3319.710411	-0.121729	
3319.711903	-0.132867	
3319.713698	-0.124045	
3319.715175	-0.147732	
3319.716955	-0.122518	
3319.718445	-0.121390	
3319.720199	-0.113165	
3319.721694	-0.130357	
3319.723447	-0.118917	
3319.724974	-0.126031	
3319.726705	-0.119992	
3319.728232	-0.131526	
3319.729950	-0.125020	
3319.731495	-0.124625	
3319.733211	-0.126232	
3319.734761	-0.128609	
3319.736435	-0.120959	
3319.738007	-0.138865	
3319.739690	-0.120996	
3319.741270	-0.136053	
3319.742929	-0.120774	
3319.744536	-0.121266	
3319.746045	-0.146483	
3319.747696	-0.132613	
3319.749197	-0.143091	
3319.750830	-0.131868	
3319.752313	-0.142019	
3319.753958	-0.131397	
3319.755442	-0.117713	
3319.757150	-0.122740	
3319.758636	-0.119686	
3319.760353	-0.126917	
3319.761835	-0.136734	
3319.763505	-0.123739	
3319.765010	-0.121423	
3319.766747	-0.118848	
3319.768280	-0.137129	
3319.770017	-0.125225	
3319.771550	-0.137753	
3319.773247	-0.124903	
3319.774796	-0.120448	
3319.776505	-0.122563	
3319.778064	-0.141782	
3319.779751	-0.114188	
3319.781332	-0.123396	
3319.782979	-0.122526	
3319.784581	-0.144670	
3319.786248	-0.120512	
3319.787837	-0.146281	
